,Imie,Rozszerzenie,Nazwa_pliku,Data_utworzenia,Data_ostatniej_modefikacji,Liczba_linii,Liczba_wierszy,Liczba_znaków,<=,>=,<,>,==,private,public,protected,abstract,final,static,default,void,byte,short,int,long,float,double,boolean,char,String,class,enum,interface,annotation,extends,new,if,else,return,throw,throws,import,catch,package,liczba_znakow_w_komantarzu_w_linii,liczba_komentarzy_w_linii,liczba_znakow_w_komentarzu_w_bloku,liczba_komentarzy_w_bloku,liczba_cudzyslowow_apostrofowych,liczba_cudzyslowow_pojedynczych,Najdluzszy_wyraz,Brak odstepu,Liczba linijek odstepu,1 linijki odstepu,2 linijki odstepu
33,Sebastian3,java,BagazGlowny.java,2023-10-03,2023-05-16,51,108,1196,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,1,3,0,5,0,0,7,0,1,54,1,0,0,0,0,ilosc_przedmiotow,1101,51,39,6.0
34,Sebastian3,java,BagazPodreczny.java,2023-10-03,2023-05-16,53,114,1288,0,0,0,0,3,0,5,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,1,3,0,6,0,0,7,0,1,49,1,0,0,0,0,ilosc_przedmiotow,1189,53,41,6.0
35,Sebastian3,java,Bagazable.java,2023-10-03,2023-05-16,6,10,102,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,interface,93,6,2,2.0
36,Sebastian3,java,Bezpieczenstwoable.java,2023-10-03,2023-05-16,6,12,141,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Bezpieczenstwoable,132,6,2,2.0
37,Sebastian3,java,Bramka.java,2023-10-03,2023-05-16,5,8,78,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,abstract,71,5,1,2.0
38,Sebastian3,java,BramkaBagazowa.java,2023-10-03,2023-05-16,17,32,404,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,mapaBagazeGlowneIBilety,375,17,9,4.0
39,Sebastian3,java,BramkaBezpieczenstwa.java,2023-10-03,2023-05-16,31,73,977,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,1,0,2,0,1,8,0,1,0,0,0,0,0,0,mapaBagazeGlowneIBilety,921,31,21,5.0
40,Sebastian3,java,KielbasaException.java,2023-10-03,2023-05-16,8,16,176,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,KielbasaException,163,8,4,2.0
41,Sebastian3,java,OperatorBramki.java,2023-10-03,2023-05-16,5,8,97,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,OperatorBramki,90,5,1,2.0
42,Sebastian3,java,OperatorBramkiBagazowej.java,2023-10-03,2023-05-16,8,13,207,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,OperatorBramkiBagazowej,195,8,2,3.0
43,Sebastian3,java,OperatorBramkiBezpieczenstwa.java,2023-10-03,2023-05-16,8,13,230,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,OperatorBramkiBezpieczenstwa,218,8,2,3.0
44,Sebastian3,java,Bilet.java,2023-10-03,2023-05-16,12,23,202,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,protected,182,12,6,3.0
45,Sebastian3,java,Pasazer.java,2023-10-03,2023-05-16,57,126,1718,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0,14,0,1,0,0,0,0,0,0,ilosc_bagazy_podrecznych,1610,57,47,5.0
46,Sebastian3,java,Terminal.java,2023-10-03,2023-05-16,26,54,588,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,6,0,1,62,5,0,0,0,0,pasazerowie,541,26,18,4.0
47,Sebastian3,java,Kielbasa.java,2023-10-03,2023-05-16,9,20,175,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Kielbasa,160,9,5,2.0
48,Sebastian3,java,Przedmiot.java,2023-10-03,2023-05-16,10,20,206,0,0,0,0,0,0,2,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Przedmiot,190,10,4,3.0
49,Sebastian3,java,PrzedmiotLegalny.java,2023-10-03,2023-05-16,10,16,171,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,PrzedmiotLegalny,155,10,4,3.0
50,Sebastian3,java,PrzedmiotNielegalny.java,2023-10-03,2023-05-16,17,35,305,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,PrzedmiotNielegalny,275,17,11,3.0
51,Sebastian3,java,ArrayDemonstrator.java,2023-10-03,2023-05-16,129,308,2850,0,0,0,0,1,4,2,0,0,0,5,0,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,11,2,0,0,0,0,1,0,1,331,14,0,0,42,0,ArrayDemonstrator,2600,129,115,7.0
52,Sebastian3,java,ClassWithFieldsFromSamePackage.java,2023-10-03,2023-05-16,49,128,1137,0,0,0,0,0,2,7,0,0,0,0,0,4,0,0,7,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,1,56,1,3,1,14,0,ClassWithFieldsFromSamePackage,1042,49,45,2.0
53,Sebastian3,java,ClassWithStaticAndNonStaticContent.java,2023-10-03,2023-05-16,46,165,1570,0,0,0,0,0,0,10,0,0,0,9,0,7,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,493,8,335,2,4,0,ClassWithStaticAndNonStaticContent,1483,46,38,4.0
