,Imie,Rozszerzenie,Nazwa_pliku,Data_utworzenia,Data_ostatniej_modefikacji,Liczba_linii,Liczba_wierszy,Liczba_znaków,<=,>=,<,>,==,private,public,protected,abstract,final,static,default,void,byte,short,int,long,float,double,boolean,char,String,class,enum,interface,annotation,extends,new,if,else,return,throw,throws,import,catch,package,liczba_znakow_w_komantarzu_w_linii,liczba_komentarzy_w_linii,liczba_znakow_w_komentarzu_w_bloku,liczba_komentarzy_w_bloku,liczba_cudzyslowow_apostrofowych,liczba_cudzyslowow_pojedynczych,Najdluzszy_wyraz,Brak odstepu,Liczba linijek odstepu,2 linijki odstepu,1 linijki odstepu,3 linijki odstepu
42,Sebastian2,java,PodmiotPioracy.java,2023-10-03,2023-04-24,13,25,342,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,PodmiotPioracy,320,13,3,7,
43,Sebastian2,java,Pralnia.java,2023-10-03,2023-04-24,77,179,2239,0,0,0,0,0,0,7,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,0,3,1,1,9,0,1,185,3,0,0,0,0,ZnalezionoOdbezpieczonyGranatException,2104,76,17,42,
44,Sebastian2,java,ZnalezionoOdbezpieczonyGranatException.java,2023-10-03,2023-04-24,9,16,192,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,ZnalezionoOdbezpieczonyGranatException,179,8,3,2,
45,Sebastian2,java,Swiat.java,2023-10-03,2023-04-24,31,57,548,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,6,0,1,0,0,0,0,0,0,PodmiotPioracy,495,31,8,15,
46,Sebastian2,java,Koszula.java,2023-10-03,2023-04-24,18,39,358,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,1,62,1,0,0,0,0,OkrycieZRozmiarem,329,18,6,6,
47,Sebastian2,java,Kufajka.java,2023-10-03,2023-04-24,5,9,71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,OkrycieZRozmiarem,63,5,1,3,
48,Sebastian2,java,Okrycie.java,2023-10-03,2023-04-24,49,98,1089,0,0,0,0,0,0,4,3,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,9,0,1,25,1,0,0,2,0,iloscElementow,1001,49,9,31,
49,Sebastian2,java,OkrycieZRozmiarem.java,2023-10-03,2023-04-24,11,20,173,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,OkrycieZRozmiarem,155,11,3,5,
50,Sebastian2,java,Plaszcz.java,2023-10-03,2023-04-24,11,21,137,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,protected,121,10,4,2,
51,Sebastian2,java,Starter.java,2023-10-03,2023-06-12,12,21,189,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,package,171,12,5,2,
52,Sebastian2,java,Zawodnik.java,2023-10-03,2023-06-12,36,92,791,0,0,0,0,0,1,4,7,2,0,1,0,2,2,0,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,4,0,1,42,1,0,0,2,0,GraphicPanel,726,36,6,24,
53,Sebastian2,java,ZawodnikPamietliwy.java,2023-10-03,2023-06-12,59,117,1062,0,1,0,0,0,2,5,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,3,2,1,32,1,0,0,0,0,ZawodnikPamietliwy,956,59,9,38,1.0
54,Sebastian2,java,ZawodnikStabilny.java,2023-10-03,2023-06-12,59,117,1057,0,1,0,0,0,2,5,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,3,2,1,32,1,0,0,0,0,ZawodnikStabilny,952,59,10,36,1.0
55,Sebastian2,java,ZawodnikVisitor.java,2023-10-03,2023-06-12,5,10,117,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ZawodnikVisitor,109,5,1,3,
56,Sebastian2,java,GraphicPanel.java,2023-10-03,2023-06-12,120,273,2667,2,0,0,0,1,6,11,0,0,1,2,0,8,0,0,2,1,0,0,0,0,0,2,0,0,0,1,3,1,0,0,0,0,13,0,1,283,11,0,0,0,0,serialVersionUID,2438,120,10,100,
57,Sebastian2,java,MyFrame.java,2023-10-03,2023-06-12,90,181,2431,0,0,0,0,0,4,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,3,0,0,10,0,1,132,3,0,0,8,0,GraphicPanel,2265,90,13,64,
