,Imie,Rozszerzenie,Nazwa_pliku,Data_utworzenia,Data_ostatniej_modefikacji,Liczba_linii,Liczba_wierszy,Liczba_znaków,<=,>=,<,>,==,private,public,protected,abstract,final,static,default,void,byte,short,int,long,float,double,boolean,char,String,class,enum,interface,annotation,extends,new,if,else,return,throw,throws,import,catch,package,liczba_znakow_w_komantarzu_w_linii,liczba_komentarzy_w_linii,liczba_znakow_w_komentarzu_w_bloku,liczba_komentarzy_w_bloku,liczba_cudzyslowow_apostrofowych,liczba_cudzyslowow_pojedynczych,Najdluzszy_wyraz,Brak odstepu,Liczba linijek odstepu,2 linijki odstepu,1 linijki odstepu,3 linijki odstepu,5 linijki odstepu,4 linijki odstepu,7 linijki odstepu,6 linijki odstepu,10 linijki odstepu
670,Malgosia,java,Ann6.java,2023-11-27,2023-11-27,15,17,276,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,package,253,15.0,2.0,6.0,,1.0,,,,
671,Malgosia,java,Dyrektor.java,2023-11-27,2023-11-27,10,20,158,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,Dyrektor,142,10.0,1.0,5.0,1.0,,,,,
672,Malgosia,java,Ksiegowa.java,2023-11-27,2023-11-27,12,20,183,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,Ksiegowa,165,12.0,3.0,3.0,1.0,,,,,
673,Malgosia,java,PddmianaString.java,2023-11-27,2023-11-27,11,17,283,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,PddmianaString,264,11.0,2.0,7.0,,,,,,
674,Malgosia,java,PodmianaInt.java,2023-11-27,2023-11-27,12,17,281,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,PodmianaInt,261,12.0,1.0,7.0,1.0,,,,,
675,Malgosia,java,PodmianaString2.java,2023-11-27,2023-11-27,13,21,325,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,package,303,13.0,3.0,7.0,,,,,,
676,Malgosia,java,Pracownik.java,2023-11-27,2023-11-27,11,21,165,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,0,0,2,0,Pracownik,147,11.0,3.0,5.0,,,,,,
677,Malgosia,java,PustyString.java,2023-11-27,2023-11-27,11,17,279,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,PustyString,260,11.0,2.0,7.0,,,,,,
678,Malgosia,java,WiekUsun.java,2023-11-27,2023-11-27,11,17,276,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,WiekUsun,257,11.0,2.0,7.0,,,,,,
679,Malgosia,java,WywolajTylerazy.java,2023-11-27,2023-11-27,14,21,314,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,WywolajTylerazy,291,14.0,2.0,7.0,1.0,,,,,
680,Malgosia,java,Main.java,2023-11-19,2023-11-19,5,14,116,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,public,108,4.0,,4.0,,,,,,
681,Malgosia,java,BezpiecznikZasilania.java,2023-11-19,2023-11-19,27,57,508,0,0,0,0,0,2,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,19,1,0,0,0,0,BezpiecznikZasilania,462,27.0,7.0,13.0,,,,,,
682,Malgosia,java,Demonstrator.java,2023-11-19,2023-11-27,120,314,4425,0,0,0,0,1,0,13,0,0,0,11,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,9,7,0,1,31,1,0,0,42,0,InvocationTargetException,4218,120.0,26.0,60.0,,,2.0,,,
683,Malgosia,java,DomyslneWartosciBezpiecznika.java,2023-11-19,2023-11-27,20,31,424,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,DomyslneWartosciBezpiecznika,391,20.0,4.0,9.0,1.0,,,,,
684,Malgosia,java,MaksymalnaPredkosc.java,2023-11-19,2023-11-27,13,19,308,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,MaksymalnaPredkosc,286,13.0,3.0,7.0,,,,,,
685,Malgosia,java,MINIWinda.java,2023-11-19,2023-11-27,75,201,2253,0,0,0,0,0,12,6,5,0,1,1,0,3,0,0,2,0,0,0,0,0,2,5,1,0,0,2,6,0,0,0,0,0,0,0,1,0,0,0,0,10,0,DedykowanySterownikDoWindy,2125,75.0,21.0,33.0,,,,,,
686,Malgosia,java,Naped.java,2023-11-19,2023-11-19,6,14,160,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,BezpiecznikZasilania,151,6.0,2.0,2.0,,,,,,
687,Malgosia,java,SterownikWindy.java,2023-11-19,2023-11-19,5,8,55,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,SterownikWindy,49,4.0,2.0,,,,,,,
688,Malgosia,java,UniwersalnySterownikWindy.java,2023-11-19,2023-11-19,5,9,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,UniwersalnySterownikWindy,74,4.0,2.0,,,,,,,
689,Malgosia,java,WaznyElement.java,2023-11-19,2023-11-27,19,27,406,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,StopienWaznosci,375,19.0,4.0,8.0,1.0,,,,,
690,Malgosia,java,Winda.java,2023-11-19,2023-11-19,16,33,374,0,0,0,0,0,0,1,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,protected,347,16.0,4.0,8.0,,,,,,
691,Malgosia,java,Main.java,2023-10-26,2023-10-26,5,14,116,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,public,108,4.0,,4.0,,,,,,
