"","year","month","Imie","n","data"
"241",2023,9,"Malgosia",0,2023-09-01
"242",2023,9,"Mikolaj",1,2023-09-01
"243",2023,9,"Sebastian",0,2023-09-01
"244",2023,10,"Malgosia",0,2023-10-01
"245",2023,10,"Mikolaj",2,2023-10-01
"246",2023,10,"Sebastian",0,2023-10-01
"247",2023,11,"Malgosia",0,2023-11-01
"248",2023,11,"Mikolaj",0,2023-11-01
"249",2023,11,"Sebastian",0,2023-11-01
"250",2023,12,"Malgosia",7,2023-12-01
"251",2023,12,"Mikolaj",0,2023-12-01
"252",2023,12,"Sebastian",0,2023-12-01
