,Imie,Rozszerzenie,Nazwa_pliku,Data_utworzenia,Data_ostatniej_modefikacji,Liczba_linii,Liczba_wierszy,Liczba_znaków,<=,>=,<,>,==,private,public,protected,abstract,final,static,default,void,byte,short,int,long,float,double,boolean,char,String,class,enum,interface,annotation,extends,new,if,else,return,throw,throws,import,catch,package,liczba_znakow_w_komantarzu_w_linii,liczba_komentarzy_w_linii,liczba_znakow_w_komentarzu_w_bloku,liczba_komentarzy_w_bloku,liczba_cudzyslowow_apostrofowych,liczba_cudzyslowow_pojedynczych,Najdluzszy_wyraz,Brak odstepu,Liczba linijek odstepu,2 linijki odstepu,1 linijki odstepu,3 linijki odstepu,5 linijki odstepu,4 linijki odstepu,7 linijki odstepu,6 linijki odstepu,10 linijki odstepu
150,Malgosia,java,Skala.java,2023-04-03,2023-04-03,9,20,201,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,wartoscSkaly,185,9.0,1.0,7.0,,,,,,
151,Malgosia,java,Uraninit.java,2023-04-03,2023-04-03,27,52,498,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,losowanie,449,27.0,4.0,19.0,,,,,,
152,Malgosia,java,Dzdzownica.java,2023-04-02,2023-04-02,14,25,246,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,Dzdzownica,220,14.0,1.0,12.0,,,,,,
153,Malgosia,java,GatunkiKretow.java,2023-04-02,2023-04-02,5,10,105,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GatunkiKretow,97,5.0,1.0,3.0,,,,,,
154,Malgosia,java,Gleba.java,2023-04-02,2023-04-02,28,51,449,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,0,2,0,losowanie,398,28.0,4.0,20.0,,,,,,
155,Malgosia,java,Kret.java,2023-04-02,2023-04-02,57,132,1270,0,0,0,0,3,3,8,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,3,2,3,0,0,1,0,1,0,0,0,0,6,0,GatunkiKretow,1165,57.0,8.0,41.0,,,,,,
156,Malgosia,java,Larwa.java,2023-04-02,2023-04-02,14,25,251,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,package,225,14.0,1.0,12.0,,,,,,
157,Malgosia,java,Main.java,2023-04-02,2023-04-02,14,32,335,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,58,1,0,0,0,0,Srodowisko,309,14.0,1.0,12.0,,,,,,
158,Malgosia,java,MoleMotion.java,2023-04-02,2023-04-02,6,11,117,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,MoleMotion,107,6.0,1.0,4.0,,,,,,
159,Malgosia,java,ObiektyZiemne.java,2023-04-02,2023-04-02,17,32,341,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,ObiektyZiemne,311,17.0,3.0,11.0,,,,,,
160,Malgosia,java,Organizmy.java,2023-04-02,2023-04-02,20,40,346,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Organizmy,310,20.0,3.0,14.0,,,,,,
161,Malgosia,java,Srodowisko.java,2023-04-02,2023-04-02,99,274,2253,0,0,0,0,3,8,5,0,0,2,2,0,2,0,0,16,0,0,0,0,0,2,1,0,0,0,0,7,4,0,2,0,0,1,0,1,0,0,0,0,6,0,wartoscOdzywczaDzdzownicy,2058,99.0,2.0,95.0,,,,,,
162,Malgosia,java,Czestotliwosc.java,2023-03-30,2023-03-30,13,28,234,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,Czestotliwosc,210,13.0,1.0,11.0,,,,,,
163,Malgosia,java,Kolor.java,2023-03-30,2023-03-30,6,9,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,package,78,6.0,1.0,4.0,,,,,,
164,Malgosia,java,Main.java,2023-03-30,2023-03-30,22,37,400,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,package,358,22.0,1.0,20.0,,,,,,
